ОСЦ;Архив;Индекс операции;Название операции;Тип ШК;КБП;вид/ площадка операции;Единица измерения;Норматив в секундах;Тип операции
ОСЦ Москва;Архив №1 Томилино;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 003 004 00 00;Работа в MS OUTLOOK;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 003 005 00 00;Изучение нормативной базы обучение и контроль знаний сотрудников.;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 005 003 00 00;Работа с каналами коммуникации (СберЧат| Сообщества СберДруг| Информационные экраны и т.д.) (контент редактор);-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 005 003 00 00;Работа с каналами коммуникации (СберЧат| Сообщества СберДруг| Информационные экраны и т.д.) (контент редактор);-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 005 003 00 00;Работа с каналами коммуникации (СберЧат| Сообщества СберДруг| Информационные экраны и т.д.) (контент редактор);-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 005 003 00 00;Работа с каналами коммуникации (СберЧат| Сообщества СберДруг| Информационные экраны и т.д.) (контент редактор);-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 005 003 00 00;Работа с каналами коммуникации (СберЧат| Сообщества СберДруг| Информационные экраны и т.д.) (контент редактор);-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 005 003 00 00;Работа с каналами коммуникации (СберЧат| Сообщества СберДруг| Информационные экраны и т.д.) (контент редактор);-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 005 003 00 00;Работа с каналами коммуникации (СберЧат| Сообщества СберДруг| Информационные экраны и т.д.) (контент редактор);-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 005 003 00 00;Работа с каналами коммуникации (СберЧат| Сообщества СберДруг| Информационные экраны и т.д.) (контент редактор);-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 005 003 00 00;Работа с каналами коммуникации (СберЧат| Сообщества СберДруг| Информационные экраны и т.д.) (контент редактор);-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 005 003 00 00;Работа с каналами коммуникации (СберЧат| Сообщества СберДруг| Информационные экраны и т.д.) (контент редактор);-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 005 003 00 00;Работа с каналами коммуникации (СберЧат| Сообщества СберДруг| Информационные экраны и т.д.) (контент редактор);-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 005 003 00 00;Работа с каналами коммуникации (СберЧат| Сообщества СберДруг| Информационные экраны и т.д.) (контент редактор);-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 005 003 00 00;Работа с каналами коммуникации (СберЧат| Сообщества СберДруг| Информационные экраны и т.д.) (контент редактор);-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 005 003 00 00;Работа с каналами коммуникации (СберЧат| Сообщества СберДруг| Информационные экраны и т.д.) (контент редактор);-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 006 005 00 00;Оценка по системе 5+;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 006 005 00 00;Оценка по системе 5+;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 006 005 00 00;Оценка по системе 5+;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 006 005 00 00;Оценка по системе 5+;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 006 005 00 00;Оценка по системе 5+;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 006 005 00 00;Оценка по системе 5+;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 006 005 00 00;Оценка по системе 5+;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 006 005 00 00;Оценка по системе 5+;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 006 005 00 00;Оценка по системе 5+;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 006 005 00 00;Оценка по системе 5+;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 006 005 00 00;Оценка по системе 5+;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 006 005 00 00;Оценка по системе 5+;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 006 005 00 00;Оценка по системе 5+;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 006 005 00 00;Оценка по системе 5+;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;SZ 028 000 00 00;Извлечение и просмотр документов с диска;-;00;Запросы;операция;1200;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;SZ 028 000 00 00;Извлечение и просмотр документов с диска;-;00;Запросы;операция;1190,829;RUCH
ОСЦ Воронеж;Архив №3 Калининград;SZ 028 000 00 00;Извлечение и просмотр документов с диска;-;00;Запросы;операция;0;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;SZ 028 000 00 00;Извлечение и просмотр документов с диска;-;00;Запросы;операция;446,033;RUCH
ОСЦ Москва;Вне подразделений;SZ 028 000 00 00;Извлечение и просмотр документов с диска;-;00;Запросы;операция;1200;RUCH
ОСЦ Москва;Архив №1 Томилино;SZ 028 000 00 00;Извлечение и просмотр документов с диска;-;00;Запросы;операция;1200,059;RUCH
ОСЦ Нижний Новгород;Вне подразделений;SZ 028 000 00 00;Извлечение и просмотр документов с диска;-;00;Запросы;операция;1200;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;SZ 028 000 00 00;Извлечение и просмотр документов с диска;-;00;Запросы;операция;0;RUCH
ОСЦ Новосибирск;Вне подразделений;SZ 028 000 00 00;Извлечение и просмотр документов с диска;-;00;Запросы;операция;1200;RUCH
